Fold,Accuracy,Precision,Recall,F1-Score
1,95.84269662921349,92.97085369519276,96.02467229454504,94.12429529002108
2,95.73033707865169,93.61901902668707,95.94806581231681,94.29137623630474
3,96.32925472747496,92.05711892617497,96.13587982255605,93.30722083898647
4,96.440489432703,93.1198807053986,96.85682975246668,94.66304175316313
5,95.88888888888889,95.03743025438112,96.46866006090792,95.46139889509799
